Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	66.22	52 K	8 K	0		
System	4.30	156 K	148 K	4		
 Interrupts	1.14	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		552 K	1,168 K	336		
 Memory Compression		100 K	2,552 K	2108		
csrss.exe		1,684 K	4,876 K	448		
wininit.exe		1,596 K	6,344 K	524		
 services.exe		5,000 K	9,212 K	664		
  svchost.exe		912 K	3,900 K	796	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,004 K	24,288 K	868	Host Process for Windows Services	Microsoft Corporation
   smartscreen.exe		17,000 K	30,092 K	4452	Windows Defender SmartScreen	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	21,592 K	57,068 K	4940	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	95,640 K	162,032 K	2068	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		3,568 K	19,520 K	1720	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		11,532 K	32,892 K	5172	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,132 K	26,820 K	6084	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,760 K	7,256 K	7580	Microsoft Skype	Microsoft Corporation
   WmiPrvSE.exe		2,436 K	8,936 K	2580		
   dllhost.exe		4,188 K	10,976 K	7000	COM Surrogate	Microsoft Corporation
   ApplicationFrameHost.exe		5,976 K	22,556 K	7232	Application Frame Host	Microsoft Corporation
   TiWorker.exe	11.49	166,536 K	153,324 K	5648		
   backgroundTaskHost.exe	Suspended	7,528 K	27,036 K	6208	Background Task Host	Microsoft Corporation
   dllhost.exe		1,608 K	6,536 K	7128	COM Surrogate	Microsoft Corporation
  svchost.exe		6,520 K	12,252 K	932	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,300 K	7,340 K	988	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,124 K	9,548 K	1036	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,688 K	10,520 K	1092	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,332 K	8,704 K	1180	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,380 K	24,456 K	3112	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		1,392 K	5,412 K	1220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	9,128 K	17,768 K	1228	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		19,160 K	20,500 K	1240	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,028 K	11,140 K	1252	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,320 K	5,776 K	1328	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,932 K	7,580 K	1336	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.31	57,504 K	66,216 K	1344	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,856 K	7,844 K	1436	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,856 K	7,700 K	1460	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,052 K	8,188 K	1468	Host Process for Windows Services	Microsoft Corporation
